00001 001     0 Central Nervous System and Cranial Nerves, Bypass            Central Nervous System and Cranial Nerves, Bypass
17669 05L34CZ 1 Occlusion R Innom Vein w Extralum Dev, Perc Endo             Occlusion of Right Innominate Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17670 05L34DZ 1 Occlusion R Innom Vein w Intralum Dev, Perc Endo             Occlusion of Right Innominate Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17671 05L34ZZ 1 Occlusion of Right Innominate Vein, Perc Endo Approach       Occlusion of Right Innominate Vein, Percutaneous Endoscopic Approach
17672 05L40CZ 1 Occlusion of L Innom Vein with Extralum Dev, Open Approach   Occlusion of Left Innominate Vein with Extraluminal Device, Open Approach
17673 05L40DZ 1 Occlusion of L Innom Vein with Intralum Dev, Open Approach   Occlusion of Left Innominate Vein with Intraluminal Device, Open Approach
17674 05L40ZZ 1 Occlusion of Left Innominate Vein, Open Approach             Occlusion of Left Innominate Vein, Open Approach
17675 05L43CZ 1 Occlusion of L Innom Vein with Extralum Dev, Perc Approach   Occlusion of Left Innominate Vein with Extraluminal Device, Percutaneous Approach
17676 05L43DZ 1 Occlusion of L Innom Vein with Intralum Dev, Perc Approach   Occlusion of Left Innominate Vein with Intraluminal Device, Percutaneous Approach
17677 05L43ZZ 1 Occlusion of Left Innominate Vein, Percutaneous Approach     Occlusion of Left Innominate Vein, Percutaneous Approach
17678 05L44CZ 1 Occlusion L Innom Vein w Extralum Dev, Perc Endo             Occlusion of Left Innominate Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17679 05L44DZ 1 Occlusion L Innom Vein w Intralum Dev, Perc Endo             Occlusion of Left Innominate Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17680 05L44ZZ 1 Occlusion of Left Innominate Vein, Perc Endo Approach        Occlusion of Left Innominate Vein, Percutaneous Endoscopic Approach
17681 05L50CZ 1 Occlusion of R Subclav Vein with Extralum Dev, Open Approach Occlusion of Right Subclavian Vein with Extraluminal Device, Open Approach
17682 05L50DZ 1 Occlusion of R Subclav Vein with Intralum Dev, Open Approach Occlusion of Right Subclavian Vein with Intraluminal Device, Open Approach
17683 05L50ZZ 1 Occlusion of Right Subclavian Vein, Open Approach            Occlusion of Right Subclavian Vein, Open Approach
17684 05L53CZ 1 Occlusion of R Subclav Vein with Extralum Dev, Perc Approach Occlusion of Right Subclavian Vein with Extraluminal Device, Percutaneous Approach
17685 05L53DZ 1 Occlusion of R Subclav Vein with Intralum Dev, Perc Approach Occlusion of Right Subclavian Vein with Intraluminal Device, Percutaneous Approach
17686 05L53ZZ 1 Occlusion of Right Subclavian Vein, Percutaneous Approach    Occlusion of Right Subclavian Vein, Percutaneous Approach
17687 05L54CZ 1 Occlusion R Subclav Vein w Extralum Dev, Perc Endo           Occlusion of Right Subclavian Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17688 05L54DZ 1 Occlusion R Subclav Vein w Intralum Dev, Perc Endo           Occlusion of Right Subclavian Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17689 05L54ZZ 1 Occlusion of Right Subclavian Vein, Perc Endo Approach       Occlusion of Right Subclavian Vein, Percutaneous Endoscopic Approach
17690 05L60CZ 1 Occlusion of L Subclav Vein with Extralum Dev, Open Approach Occlusion of Left Subclavian Vein with Extraluminal Device, Open Approach
17691 05L60DZ 1 Occlusion of L Subclav Vein with Intralum Dev, Open Approach Occlusion of Left Subclavian Vein with Intraluminal Device, Open Approach
17692 05L60ZZ 1 Occlusion of Left Subclavian Vein, Open Approach             Occlusion of Left Subclavian Vein, Open Approach
17693 05L63CZ 1 Occlusion of L Subclav Vein with Extralum Dev, Perc Approach Occlusion of Left Subclavian Vein with Extraluminal Device, Percutaneous Approach
17694 05L63DZ 1 Occlusion of L Subclav Vein with Intralum Dev, Perc Approach Occlusion of Left Subclavian Vein with Intraluminal Device, Percutaneous Approach
17695 05L63ZZ 1 Occlusion of Left Subclavian Vein, Percutaneous Approach     Occlusion of Left Subclavian Vein, Percutaneous Approach
17696 05L64CZ 1 Occlusion L Subclav Vein w Extralum Dev, Perc Endo           Occlusion of Left Subclavian Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17697 05L64DZ 1 Occlusion L Subclav Vein w Intralum Dev, Perc Endo           Occlusion of Left Subclavian Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17698 05L64ZZ 1 Occlusion of Left Subclavian Vein, Perc Endo Approach        Occlusion of Left Subclavian Vein, Percutaneous Endoscopic Approach
17699 05L70CZ 1 Occlusion of R Axilla Vein with Extralum Dev, Open Approach  Occlusion of Right Axillary Vein with Extraluminal Device, Open Approach
17700 05L70DZ 1 Occlusion of R Axilla Vein with Intralum Dev, Open Approach  Occlusion of Right Axillary Vein with Intraluminal Device, Open Approach
17701 05L70ZZ 1 Occlusion of Right Axillary Vein, Open Approach              Occlusion of Right Axillary Vein, Open Approach
17702 05L73CZ 1 Occlusion of R Axilla Vein with Extralum Dev, Perc Approach  Occlusion of Right Axillary Vein with Extraluminal Device, Percutaneous Approach
17703 05L73DZ 1 Occlusion of R Axilla Vein with Intralum Dev, Perc Approach  Occlusion of Right Axillary Vein with Intraluminal Device, Percutaneous Approach
17704 05L73ZZ 1 Occlusion of Right Axillary Vein, Percutaneous Approach      Occlusion of Right Axillary Vein, Percutaneous Approach
17705 05L74CZ 1 Occlusion R Axilla Vein w Extralum Dev, Perc Endo            Occlusion of Right Axillary Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17706 05L74DZ 1 Occlusion R Axilla Vein w Intralum Dev, Perc Endo            Occlusion of Right Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17707 05L74ZZ 1 Occlusion of Right Axillary Vein, Perc Endo Approach         Occlusion of Right Axillary Vein, Percutaneous Endoscopic Approach
17708 05L80CZ 1 Occlusion of L Axilla Vein with Extralum Dev, Open Approach  Occlusion of Left Axillary Vein with Extraluminal Device, Open Approach
17709 05L80DZ 1 Occlusion of L Axilla Vein with Intralum Dev, Open Approach  Occlusion of Left Axillary Vein with Intraluminal Device, Open Approach
17710 05L80ZZ 1 Occlusion of Left Axillary Vein, Open Approach               Occlusion of Left Axillary Vein, Open Approach
17711 05L83CZ 1 Occlusion of L Axilla Vein with Extralum Dev, Perc Approach  Occlusion of Left Axillary Vein with Extraluminal Device, Percutaneous Approach
17712 05L83DZ 1 Occlusion of L Axilla Vein with Intralum Dev, Perc Approach  Occlusion of Left Axillary Vein with Intraluminal Device, Percutaneous Approach
17713 05L83ZZ 1 Occlusion of Left Axillary Vein, Percutaneous Approach       Occlusion of Left Axillary Vein, Percutaneous Approach
17714 05L84CZ 1 Occlusion L Axilla Vein w Extralum Dev, Perc Endo            Occlusion of Left Axillary Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17715 05L84DZ 1 Occlusion L Axilla Vein w Intralum Dev, Perc Endo            Occlusion of Left Axillary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17716 05L84ZZ 1 Occlusion of Left Axillary Vein, Perc Endo Approach          Occlusion of Left Axillary Vein, Percutaneous Endoscopic Approach
17717 05L90CZ 1 Occlusion of R Brach Vein with Extralum Dev, Open Approach   Occlusion of Right Brachial Vein with Extraluminal Device, Open Approach
17718 05L90DZ 1 Occlusion of R Brach Vein with Intralum Dev, Open Approach   Occlusion of Right Brachial Vein with Intraluminal Device, Open Approach
17719 05L90ZZ 1 Occlusion of Right Brachial Vein, Open Approach              Occlusion of Right Brachial Vein, Open Approach
17720 05L93CZ 1 Occlusion of R Brach Vein with Extralum Dev, Perc Approach   Occlusion of Right Brachial Vein with Extraluminal Device, Percutaneous Approach
17721 05L93DZ 1 Occlusion of R Brach Vein with Intralum Dev, Perc Approach   Occlusion of Right Brachial Vein with Intraluminal Device, Percutaneous Approach
17722 05L93ZZ 1 Occlusion of Right Brachial Vein, Percutaneous Approach      Occlusion of Right Brachial Vein, Percutaneous Approach
17723 05L94CZ 1 Occlusion R Brach Vein w Extralum Dev, Perc Endo             Occlusion of Right Brachial Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17724 05L94DZ 1 Occlusion R Brach Vein w Intralum Dev, Perc Endo             Occlusion of Right Brachial Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17725 05L94ZZ 1 Occlusion of Right Brachial Vein, Perc Endo Approach         Occlusion of Right Brachial Vein, Percutaneous Endoscopic Approach
17726 05LA0CZ 1 Occlusion of L Brach Vein with Extralum Dev, Open Approach   Occlusion of Left Brachial Vein with Extraluminal Device, Open Approach
17727 05LA0DZ 1 Occlusion of L Brach Vein with Intralum Dev, Open Approach   Occlusion of Left Brachial Vein with Intraluminal Device, Open Approach
17728 05LA0ZZ 1 Occlusion of Left Brachial Vein, Open Approach               Occlusion of Left Brachial Vein, Open Approach
17729 05LA3CZ 1 Occlusion of L Brach Vein with Extralum Dev, Perc Approach   Occlusion of Left Brachial Vein with Extraluminal Device, Percutaneous Approach
17730 05LA3DZ 1 Occlusion of L Brach Vein with Intralum Dev, Perc Approach   Occlusion of Left Brachial Vein with Intraluminal Device, Percutaneous Approach
17731 05LA3ZZ 1 Occlusion of Left Brachial Vein, Percutaneous Approach       Occlusion of Left Brachial Vein, Percutaneous Approach
17732 05LA4CZ 1 Occlusion L Brach Vein w Extralum Dev, Perc Endo             Occlusion of Left Brachial Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17733 05LA4DZ 1 Occlusion L Brach Vein w Intralum Dev, Perc Endo             Occlusion of Left Brachial Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17734 05LA4ZZ 1 Occlusion of Left Brachial Vein, Perc Endo Approach          Occlusion of Left Brachial Vein, Percutaneous Endoscopic Approach
17735 05LB0CZ 1 Occlusion of R Basilic Vein with Extralum Dev, Open Approach Occlusion of Right Basilic Vein with Extraluminal Device, Open Approach
17736 05LB0DZ 1 Occlusion of R Basilic Vein with Intralum Dev, Open Approach Occlusion of Right Basilic Vein with Intraluminal Device, Open Approach
17737 05LB0ZZ 1 Occlusion of Right Basilic Vein, Open Approach               Occlusion of Right Basilic Vein, Open Approach
17738 05LB3CZ 1 Occlusion of R Basilic Vein with Extralum Dev, Perc Approach Occlusion of Right Basilic Vein with Extraluminal Device, Percutaneous Approach
17739 05LB3DZ 1 Occlusion of R Basilic Vein with Intralum Dev, Perc Approach Occlusion of Right Basilic Vein with Intraluminal Device, Percutaneous Approach
17740 05LB3ZZ 1 Occlusion of Right Basilic Vein, Percutaneous Approach       Occlusion of Right Basilic Vein, Percutaneous Approach
17741 05LB4CZ 1 Occlusion R Basilic Vein w Extralum Dev, Perc Endo           Occlusion of Right Basilic Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17742 05LB4DZ 1 Occlusion R Basilic Vein w Intralum Dev, Perc Endo           Occlusion of Right Basilic Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17743 05LB4ZZ 1 Occlusion of Right Basilic Vein, Perc Endo Approach          Occlusion of Right Basilic Vein, Percutaneous Endoscopic Approach
17744 05LC0CZ 1 Occlusion of L Basilic Vein with Extralum Dev, Open Approach Occlusion of Left Basilic Vein with Extraluminal Device, Open Approach
17745 05LC0DZ 1 Occlusion of L Basilic Vein with Intralum Dev, Open Approach Occlusion of Left Basilic Vein with Intraluminal Device, Open Approach
17746 05LC0ZZ 1 Occlusion of Left Basilic Vein, Open Approach                Occlusion of Left Basilic Vein, Open Approach
17747 05LC3CZ 1 Occlusion of L Basilic Vein with Extralum Dev, Perc Approach Occlusion of Left Basilic Vein with Extraluminal Device, Percutaneous Approach
17748 05LC3DZ 1 Occlusion of L Basilic Vein with Intralum Dev, Perc Approach Occlusion of Left Basilic Vein with Intraluminal Device, Percutaneous Approach
17749 05LC3ZZ 1 Occlusion of Left Basilic Vein, Percutaneous Approach        Occlusion of Left Basilic Vein, Percutaneous Approach
17750 05LC4CZ 1 Occlusion L Basilic Vein w Extralum Dev, Perc Endo           Occlusion of Left Basilic Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17751 05LC4DZ 1 Occlusion L Basilic Vein w Intralum Dev, Perc Endo           Occlusion of Left Basilic Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17752 05LC4ZZ 1 Occlusion of Left Basilic Vein, Perc Endo Approach           Occlusion of Left Basilic Vein, Percutaneous Endoscopic Approach
17753 05LD0CZ 1 Occlusion R Cephalic Vein w Extralum Dev, Open               Occlusion of Right Cephalic Vein with Extraluminal Device, Open Approach
17754 05LD0DZ 1 Occlusion R Cephalic Vein w Intralum Dev, Open               Occlusion of Right Cephalic Vein with Intraluminal Device, Open Approach
17755 05LD0ZZ 1 Occlusion of Right Cephalic Vein, Open Approach              Occlusion of Right Cephalic Vein, Open Approach
17756 05LD3CZ 1 Occlusion R Cephalic Vein w Extralum Dev, Perc               Occlusion of Right Cephalic Vein with Extraluminal Device, Percutaneous Approach
17757 05LD3DZ 1 Occlusion R Cephalic Vein w Intralum Dev, Perc               Occlusion of Right Cephalic Vein with Intraluminal Device, Percutaneous Approach
17758 05LD3ZZ 1 Occlusion of Right Cephalic Vein, Percutaneous Approach      Occlusion of Right Cephalic Vein, Percutaneous Approach
17759 05LD4CZ 1 Occlusion R Cephalic Vein w Extralum Dev, Perc Endo          Occlusion of Right Cephalic Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17760 05LD4DZ 1 Occlusion R Cephalic Vein w Intralum Dev, Perc Endo          Occlusion of Right Cephalic Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17761 05LD4ZZ 1 Occlusion of Right Cephalic Vein, Perc Endo Approach         Occlusion of Right Cephalic Vein, Percutaneous Endoscopic Approach
17762 05LF0CZ 1 Occlusion L Cephalic Vein w Extralum Dev, Open               Occlusion of Left Cephalic Vein with Extraluminal Device, Open Approach
17763 05LF0DZ 1 Occlusion L Cephalic Vein w Intralum Dev, Open               Occlusion of Left Cephalic Vein with Intraluminal Device, Open Approach
17764 05LF0ZZ 1 Occlusion of Left Cephalic Vein, Open Approach               Occlusion of Left Cephalic Vein, Open Approach
17765 05LF3CZ 1 Occlusion L Cephalic Vein w Extralum Dev, Perc               Occlusion of Left Cephalic Vein with Extraluminal Device, Percutaneous Approach
17766 05LF3DZ 1 Occlusion L Cephalic Vein w Intralum Dev, Perc               Occlusion of Left Cephalic Vein with Intraluminal Device, Percutaneous Approach
17767 05LF3ZZ 1 Occlusion of Left Cephalic Vein, Percutaneous Approach       Occlusion of Left Cephalic Vein, Percutaneous Approach
17768 05LF4CZ 1 Occlusion L Cephalic Vein w Extralum Dev, Perc Endo          Occlusion of Left Cephalic Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17769 05LF4DZ 1 Occlusion L Cephalic Vein w Intralum Dev, Perc Endo          Occlusion of Left Cephalic Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17770 05LF4ZZ 1 Occlusion of Left Cephalic Vein, Perc Endo Approach          Occlusion of Left Cephalic Vein, Percutaneous Endoscopic Approach
17771 05LG0CZ 1 Occlusion of R Hand Vein with Extralum Dev, Open Approach    Occlusion of Right Hand Vein with Extraluminal Device, Open Approach
17772 05LG0DZ 1 Occlusion of R Hand Vein with Intralum Dev, Open Approach    Occlusion of Right Hand Vein with Intraluminal Device, Open Approach
17773 05LG0ZZ 1 Occlusion of Right Hand Vein, Open Approach                  Occlusion of Right Hand Vein, Open Approach
17774 05LG3CZ 1 Occlusion of R Hand Vein with Extralum Dev, Perc Approach    Occlusion of Right Hand Vein with Extraluminal Device, Percutaneous Approach
17775 05LG3DZ 1 Occlusion of R Hand Vein with Intralum Dev, Perc Approach    Occlusion of Right Hand Vein with Intraluminal Device, Percutaneous Approach
17776 05LG3ZZ 1 Occlusion of Right Hand Vein, Percutaneous Approach          Occlusion of Right Hand Vein, Percutaneous Approach
17777 05LG4CZ 1 Occlusion R Hand Vein w Extralum Dev, Perc Endo              Occlusion of Right Hand Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17778 05LG4DZ 1 Occlusion R Hand Vein w Intralum Dev, Perc Endo              Occlusion of Right Hand Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17779 05LG4ZZ 1 Occlusion of Right Hand Vein, Perc Endo Approach             Occlusion of Right Hand Vein, Percutaneous Endoscopic Approach
17780 05LH0CZ 1 Occlusion of Left Hand Vein with Extralum Dev, Open Approach Occlusion of Left Hand Vein with Extraluminal Device, Open Approach
17781 05LH0DZ 1 Occlusion of Left Hand Vein with Intralum Dev, Open Approach Occlusion of Left Hand Vein with Intraluminal Device, Open Approach
17782 05LH0ZZ 1 Occlusion of Left Hand Vein, Open Approach                   Occlusion of Left Hand Vein, Open Approach
17783 05LH3CZ 1 Occlusion of Left Hand Vein with Extralum Dev, Perc Approach Occlusion of Left Hand Vein with Extraluminal Device, Percutaneous Approach
17784 05LH3DZ 1 Occlusion of Left Hand Vein with Intralum Dev, Perc Approach Occlusion of Left Hand Vein with Intraluminal Device, Percutaneous Approach
17785 05LH3ZZ 1 Occlusion of Left Hand Vein, Percutaneous Approach           Occlusion of Left Hand Vein, Percutaneous Approach
17786 05LH4CZ 1 Occlusion L Hand Vein w Extralum Dev, Perc Endo              Occlusion of Left Hand Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17787 05LH4DZ 1 Occlusion L Hand Vein w Intralum Dev, Perc Endo              Occlusion of Left Hand Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17788 05LH4ZZ 1 Occlusion of Left Hand Vein, Perc Endo Approach              Occlusion of Left Hand Vein, Percutaneous Endoscopic Approach
17789 05LL0CZ 1 Occlusion of Intracran Vein with Extralum Dev, Open Approach Occlusion of Intracranial Vein with Extraluminal Device, Open Approach
17790 05LL0DZ 1 Occlusion of Intracran Vein with Intralum Dev, Open Approach Occlusion of Intracranial Vein with Intraluminal Device, Open Approach
17791 05LL0ZZ 1 Occlusion of Intracranial Vein, Open Approach                Occlusion of Intracranial Vein, Open Approach
17792 05LL3CZ 1 Occlusion of Intracran Vein with Extralum Dev, Perc Approach Occlusion of Intracranial Vein with Extraluminal Device, Percutaneous Approach
17793 05LL3DZ 1 Occlusion of Intracran Vein with Intralum Dev, Perc Approach Occlusion of Intracranial Vein with Intraluminal Device, Percutaneous Approach
17794 05LL3ZZ 1 Occlusion of Intracranial Vein, Percutaneous Approach        Occlusion of Intracranial Vein, Percutaneous Approach
17795 05LL4CZ 1 Occlusion Intracran Vein w Extralum Dev, Perc Endo           Occlusion of Intracranial Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17796 05LL4DZ 1 Occlusion Intracran Vein w Intralum Dev, Perc Endo           Occlusion of Intracranial Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17797 05LL4ZZ 1 Occlusion of Intracranial Vein, Perc Endo Approach           Occlusion of Intracranial Vein, Percutaneous Endoscopic Approach
17798 05LM0CZ 1 Occlusion R Int Jugular Vein w Extralum Dev, Open            Occlusion of Right Internal Jugular Vein with Extraluminal Device, Open Approach
17799 05LM0DZ 1 Occlusion R Int Jugular Vein w Intralum Dev, Open            Occlusion of Right Internal Jugular Vein with Intraluminal Device, Open Approach
17800 05LM0ZZ 1 Occlusion of Right Internal Jugular Vein, Open Approach      Occlusion of Right Internal Jugular Vein, Open Approach
17801 05LM3CZ 1 Occlusion R Int Jugular Vein w Extralum Dev, Perc            Occlusion of Right Internal Jugular Vein with Extraluminal Device, Percutaneous Approach
17802 05LM3DZ 1 Occlusion R Int Jugular Vein w Intralum Dev, Perc            Occlusion of Right Internal Jugular Vein with Intraluminal Device, Percutaneous Approach
17803 05LM3ZZ 1 Occlusion of Right Internal Jugular Vein, Perc Approach      Occlusion of Right Internal Jugular Vein, Percutaneous Approach
17804 05LM4CZ 1 Occlusion R Int Jugular Vein w Extralum Dev, Perc Endo       Occlusion of Right Internal Jugular Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17805 05LM4DZ 1 Occlusion R Int Jugular Vein w Intralum Dev, Perc Endo       Occlusion of Right Internal Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17806 05LM4ZZ 1 Occlusion of Right Internal Jugular Vein, Perc Endo Approach Occlusion of Right Internal Jugular Vein, Percutaneous Endoscopic Approach
17807 05LN0CZ 1 Occlusion L Int Jugular Vein w Extralum Dev, Open            Occlusion of Left Internal Jugular Vein with Extraluminal Device, Open Approach
17808 05LN0DZ 1 Occlusion L Int Jugular Vein w Intralum Dev, Open            Occlusion of Left Internal Jugular Vein with Intraluminal Device, Open Approach
17809 05LN0ZZ 1 Occlusion of Left Internal Jugular Vein, Open Approach       Occlusion of Left Internal Jugular Vein, Open Approach
17810 05LN3CZ 1 Occlusion L Int Jugular Vein w Extralum Dev, Perc            Occlusion of Left Internal Jugular Vein with Extraluminal Device, Percutaneous Approach
17811 05LN3DZ 1 Occlusion L Int Jugular Vein w Intralum Dev, Perc            Occlusion of Left Internal Jugular Vein with Intraluminal Device, Percutaneous Approach
17812 05LN3ZZ 1 Occlusion of Left Internal Jugular Vein, Perc Approach       Occlusion of Left Internal Jugular Vein, Percutaneous Approach
17813 05LN4CZ 1 Occlusion L Int Jugular Vein w Extralum Dev, Perc Endo       Occlusion of Left Internal Jugular Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17814 05LN4DZ 1 Occlusion L Int Jugular Vein w Intralum Dev, Perc Endo       Occlusion of Left Internal Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17815 05LN4ZZ 1 Occlusion of Left Internal Jugular Vein, Perc Endo Approach  Occlusion of Left Internal Jugular Vein, Percutaneous Endoscopic Approach
17816 05LP0CZ 1 Occlusion R Ext Jugular Vein w Extralum Dev, Open            Occlusion of Right External Jugular Vein with Extraluminal Device, Open Approach
17817 05LP0DZ 1 Occlusion R Ext Jugular Vein w Intralum Dev, Open            Occlusion of Right External Jugular Vein with Intraluminal Device, Open Approach
17818 05LP0ZZ 1 Occlusion of Right External Jugular Vein, Open Approach      Occlusion of Right External Jugular Vein, Open Approach
17819 05LP3CZ 1 Occlusion R Ext Jugular Vein w Extralum Dev, Perc            Occlusion of Right External Jugular Vein with Extraluminal Device, Percutaneous Approach
17820 05LP3DZ 1 Occlusion R Ext Jugular Vein w Intralum Dev, Perc            Occlusion of Right External Jugular Vein with Intraluminal Device, Percutaneous Approach
17821 05LP3ZZ 1 Occlusion of Right External Jugular Vein, Perc Approach      Occlusion of Right External Jugular Vein, Percutaneous Approach
17822 05LP4CZ 1 Occlusion R Ext Jugular Vein w Extralum Dev, Perc Endo       Occlusion of Right External Jugular Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17823 05LP4DZ 1 Occlusion R Ext Jugular Vein w Intralum Dev, Perc Endo       Occlusion of Right External Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17824 05LP4ZZ 1 Occlusion of Right External Jugular Vein, Perc Endo Approach Occlusion of Right External Jugular Vein, Percutaneous Endoscopic Approach
17825 05LQ0CZ 1 Occlusion L Ext Jugular Vein w Extralum Dev, Open            Occlusion of Left External Jugular Vein with Extraluminal Device, Open Approach
17826 05LQ0DZ 1 Occlusion L Ext Jugular Vein w Intralum Dev, Open            Occlusion of Left External Jugular Vein with Intraluminal Device, Open Approach
17827 05LQ0ZZ 1 Occlusion of Left External Jugular Vein, Open Approach       Occlusion of Left External Jugular Vein, Open Approach
17828 05LQ3CZ 1 Occlusion L Ext Jugular Vein w Extralum Dev, Perc            Occlusion of Left External Jugular Vein with Extraluminal Device, Percutaneous Approach
17829 05LQ3DZ 1 Occlusion L Ext Jugular Vein w Intralum Dev, Perc            Occlusion of Left External Jugular Vein with Intraluminal Device, Percutaneous Approach
17830 05LQ3ZZ 1 Occlusion of Left External Jugular Vein, Perc Approach       Occlusion of Left External Jugular Vein, Percutaneous Approach
17831 05LQ4CZ 1 Occlusion L Ext Jugular Vein w Extralum Dev, Perc Endo       Occlusion of Left External Jugular Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17832 05LQ4DZ 1 Occlusion L Ext Jugular Vein w Intralum Dev, Perc Endo       Occlusion of Left External Jugular Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17833 05LQ4ZZ 1 Occlusion of Left External Jugular Vein, Perc Endo Approach  Occlusion of Left External Jugular Vein, Percutaneous Endoscopic Approach
17834 05LR0CZ 1 Occlusion of R Verteb Vein with Extralum Dev, Open Approach  Occlusion of Right Vertebral Vein with Extraluminal Device, Open Approach
17835 05LR0DZ 1 Occlusion of R Verteb Vein with Intralum Dev, Open Approach  Occlusion of Right Vertebral Vein with Intraluminal Device, Open Approach
17836 05LR0ZZ 1 Occlusion of Right Vertebral Vein, Open Approach             Occlusion of Right Vertebral Vein, Open Approach
17837 05LR3CZ 1 Occlusion of R Verteb Vein with Extralum Dev, Perc Approach  Occlusion of Right Vertebral Vein with Extraluminal Device, Percutaneous Approach
17838 05LR3DZ 1 Occlusion of R Verteb Vein with Intralum Dev, Perc Approach  Occlusion of Right Vertebral Vein with Intraluminal Device, Percutaneous Approach
17839 05LR3ZZ 1 Occlusion of Right Vertebral Vein, Percutaneous Approach     Occlusion of Right Vertebral Vein, Percutaneous Approach
17840 05LR4CZ 1 Occlusion R Verteb Vein w Extralum Dev, Perc Endo            Occlusion of Right Vertebral Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17841 05LR4DZ 1 Occlusion R Verteb Vein w Intralum Dev, Perc Endo            Occlusion of Right Vertebral Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17842 05LR4ZZ 1 Occlusion of Right Vertebral Vein, Perc Endo Approach        Occlusion of Right Vertebral Vein, Percutaneous Endoscopic Approach
17843 05LS0CZ 1 Occlusion of L Verteb Vein with Extralum Dev, Open Approach  Occlusion of Left Vertebral Vein with Extraluminal Device, Open Approach
17844 05LS0DZ 1 Occlusion of L Verteb Vein with Intralum Dev, Open Approach  Occlusion of Left Vertebral Vein with Intraluminal Device, Open Approach
17845 05LS0ZZ 1 Occlusion of Left Vertebral Vein, Open Approach              Occlusion of Left Vertebral Vein, Open Approach
17846 05LS3CZ 1 Occlusion of L Verteb Vein with Extralum Dev, Perc Approach  Occlusion of Left Vertebral Vein with Extraluminal Device, Percutaneous Approach
17847 05LS3DZ 1 Occlusion of L Verteb Vein with Intralum Dev, Perc Approach  Occlusion of Left Vertebral Vein with Intraluminal Device, Percutaneous Approach
17848 05LS3ZZ 1 Occlusion of Left Vertebral Vein, Percutaneous Approach      Occlusion of Left Vertebral Vein, Percutaneous Approach
17849 05LS4CZ 1 Occlusion L Verteb Vein w Extralum Dev, Perc Endo            Occlusion of Left Vertebral Vein with Extraluminal Device, Percutaneous Endoscopic Approach
17850 05LS4DZ 1 Occlusion L Verteb Vein w Intralum Dev, Perc Endo            Occlusion of Left Vertebral Vein with Intraluminal Device, Percutaneous Endoscopic Approach
17851 05LS4ZZ 1 Occlusion of Left Vertebral Vein, Perc Endo Approach         Occlusion of Left Vertebral Vein, Percutaneous Endoscopic Approach
17852 05LT0CZ 1 Occlusion of R Face Vein with Extralum Dev, Open Approach    Occlusion of Right Face Vein with Extraluminal Device, Open Approach
17853 05LT0DZ 1 Occlusion of R Face Vein with Intralum Dev, Open Approach    Occlusion of Right Face Vein with Intraluminal Device, Open Approach
17854 05LT0ZZ 1 Occlusion of Right Face Vein, Open Approach                  Occlusion of Right Face Vein, Open Approach
17855 05LT3CZ 1 Occlusion of R Face Vein with Extralum Dev, Perc Approach    Occlusion of Right Face Vein with Extraluminal Device, Percutaneous Approach
17856 05LT3DZ 1 Occlusion of R Face Vein with Intralum Dev, Perc Approach    Occlusion of Right Face Vein with Intraluminal Device, Percutaneous Approach
17857 05LT3ZZ 1 Occlusion of Right Face Vein, Percutaneous Approach          Occlusion of Right Face Vein, Percutaneous Approach
